state_abbr,county_name,county_url
AR,Arkansas,https://www.hospitalstats.org/ER-Wait-Time/Arkansas-County-AR.htm
AR,Ashley,https://www.hospitalstats.org/ER-Wait-Time/Ashley-County-AR.htm
AR,Baxter,https://www.hospitalstats.org/ER-Wait-Time/Baxter-County-AR.htm
AR,Benton,https://www.hospitalstats.org/ER-Wait-Time/Benton-County-AR.htm
AR,Boone,https://www.hospitalstats.org/ER-Wait-Time/Boone-County-AR.htm
AR,Bradley,https://www.hospitalstats.org/ER-Wait-Time/Bradley-County-AR.htm
AR,Carroll,https://www.hospitalstats.org/ER-Wait-Time/Carroll-County-AR.htm
AR,Chicot,https://www.hospitalstats.org/ER-Wait-Time/Chicot-County-AR.htm
AR,Clark,https://www.hospitalstats.org/ER-Wait-Time/Clark-County-AR.htm
AR,Clay,https://www.hospitalstats.org/ER-Wait-Time/Clay-County-AR.htm
AR,Cleburne,https://www.hospitalstats.org/ER-Wait-Time/Cleburne-County-AR.htm
AR,Columbia,https://www.hospitalstats.org/ER-Wait-Time/Columbia-County-AR.htm
AR,Conway,https://www.hospitalstats.org/ER-Wait-Time/Conway-County-AR.htm
AR,Craighead,https://www.hospitalstats.org/ER-Wait-Time/Craighead-County-AR.htm
AR,Crawford,https://www.hospitalstats.org/ER-Wait-Time/Crawford-County-AR.htm
AR,Crittenden,https://www.hospitalstats.org/ER-Wait-Time/Crittenden-County-AR.htm
AR,Cross,https://www.hospitalstats.org/ER-Wait-Time/Cross-County-AR.htm
AR,Dallas,https://www.hospitalstats.org/ER-Wait-Time/Dallas-County-AR.htm
AR,Desha,https://www.hospitalstats.org/ER-Wait-Time/Desha-County-AR.htm
AR,Drew,https://www.hospitalstats.org/ER-Wait-Time/Drew-County-AR.htm
AR,Faulkner,https://www.hospitalstats.org/ER-Wait-Time/Faulkner-County-AR.htm
AR,Franklin,https://www.hospitalstats.org/ER-Wait-Time/Franklin-County-AR.htm
AR,Fulton,https://www.hospitalstats.org/ER-Wait-Time/Fulton-County-AR.htm
AR,Garland,https://www.hospitalstats.org/ER-Wait-Time/Garland-County-AR.htm
AR,Greene,https://www.hospitalstats.org/ER-Wait-Time/Greene-County-AR.htm
AR,Hempstead,https://www.hospitalstats.org/ER-Wait-Time/Hempstead-County-AR.htm
AR,Hot Spring,https://www.hospitalstats.org/ER-Wait-Time/Hot-Spring-County-AR.htm
AR,Howard,https://www.hospitalstats.org/ER-Wait-Time/Howard-County-AR.htm
AR,Independence,https://www.hospitalstats.org/ER-Wait-Time/Independence-County-AR.htm
AR,Jackson,https://www.hospitalstats.org/ER-Wait-Time/Jackson-County-AR.htm
AR,Jefferson,https://www.hospitalstats.org/ER-Wait-Time/Jefferson-County-AR.htm
AR,Johnson,https://www.hospitalstats.org/ER-Wait-Time/Johnson-County-AR.htm
AR,Lawrence,https://www.hospitalstats.org/ER-Wait-Time/Lawrence-County-AR.htm
AR,Little River,https://www.hospitalstats.org/ER-Wait-Time/Little-River-County-AR.htm
AR,Logan,https://www.hospitalstats.org/ER-Wait-Time/Logan-County-AR.htm
AR,Mississippi,https://www.hospitalstats.org/ER-Wait-Time/Mississippi-County-AR.htm
AR,Ouachita,https://www.hospitalstats.org/ER-Wait-Time/Ouachita-County-AR.htm
AR,Phillips,https://www.hospitalstats.org/ER-Wait-Time/Phillips-County-AR.htm
AR,Polk,https://www.hospitalstats.org/ER-Wait-Time/Polk-County-AR.htm
AR,Pope,https://www.hospitalstats.org/ER-Wait-Time/Pope-County-AR.htm
AR,Pulaski,https://www.hospitalstats.org/ER-Wait-Time/Pulaski-County-AR.htm
AR,Randolph,https://www.hospitalstats.org/ER-Wait-Time/Randolph-County-AR.htm
AR,Saint Francis,https://www.hospitalstats.org/ER-Wait-Time/Saint-Francis-County-AR.htm
AR,Saline,https://www.hospitalstats.org/ER-Wait-Time/Saline-County-AR.htm
AR,Scott,https://www.hospitalstats.org/ER-Wait-Time/Scott-County-AR.htm
AR,Sebastian,https://www.hospitalstats.org/ER-Wait-Time/Sebastian-County-AR.htm
AR,Sevier,https://www.hospitalstats.org/ER-Wait-Time/Sevier-County-AR.htm
AR,Stone,https://www.hospitalstats.org/ER-Wait-Time/Stone-County-AR.htm
AR,Union,https://www.hospitalstats.org/ER-Wait-Time/Union-County-AR.htm
AR,Van Buren,https://www.hospitalstats.org/ER-Wait-Time/Van-Buren-County-AR.htm
AR,Washington,https://www.hospitalstats.org/ER-Wait-Time/Washington-County-AR.htm
AR,White,https://www.hospitalstats.org/ER-Wait-Time/White-County-AR.htm
AR,Yell,https://www.hospitalstats.org/ER-Wait-Time/Yell-County-AR.htm
AZ,Apache,https://www.hospitalstats.org/ER-Wait-Time/Apache-County-AZ.htm
AZ,Cochise,https://www.hospitalstats.org/ER-Wait-Time/Cochise-County-AZ.htm
AZ,Coconino,https://www.hospitalstats.org/ER-Wait-Time/Coconino-County-AZ.htm
AZ,Gila,https://www.hospitalstats.org/ER-Wait-Time/Gila-County-AZ.htm
AZ,Graham,https://www.hospitalstats.org/ER-Wait-Time/Graham-County-AZ.htm
AZ,La Paz,https://www.hospitalstats.org/ER-Wait-Time/La-Paz-County-AZ.htm
AZ,Maricopa,https://www.hospitalstats.org/ER-Wait-Time/Maricopa-County-AZ.htm
AZ,Mohave,https://www.hospitalstats.org/ER-Wait-Time/Mohave-County-AZ.htm
AZ,Navajo,https://www.hospitalstats.org/ER-Wait-Time/Navajo-County-AZ.htm
AZ,Pima,https://www.hospitalstats.org/ER-Wait-Time/Pima-County-AZ.htm
AZ,Pinal,https://www.hospitalstats.org/ER-Wait-Time/Pinal-County-AZ.htm
AZ,Santa Cruz,https://www.hospitalstats.org/ER-Wait-Time/Santa-Cruz-County-AZ.htm
AZ,Yavapai,https://www.hospitalstats.org/ER-Wait-Time/Yavapai-County-AZ.htm
AZ,Yuma,https://www.hospitalstats.org/ER-Wait-Time/Yuma-County-AZ.htm
CA,Alameda,https://www.hospitalstats.org/ER-Wait-Time/Alameda-County-CA.htm
CA,Amador,https://www.hospitalstats.org/ER-Wait-Time/Amador-County-CA.htm
CA,Butte,https://www.hospitalstats.org/ER-Wait-Time/Butte-County-CA.htm
CA,Calaveras,https://www.hospitalstats.org/ER-Wait-Time/Calaveras-County-CA.htm
CA,Colusa,https://www.hospitalstats.org/ER-Wait-Time/Colusa-County-CA.htm
CA,Contra Costa,https://www.hospitalstats.org/ER-Wait-Time/Contra-Costa-County-CA.htm
CA,Del Norte,https://www.hospitalstats.org/ER-Wait-Time/Del-Norte-County-CA.htm
CA,El Dorado,https://www.hospitalstats.org/ER-Wait-Time/El-Dorado-County-CA.htm
CA,Fresno,https://www.hospitalstats.org/ER-Wait-Time/Fresno-County-CA.htm
CA,Glenn,https://www.hospitalstats.org/ER-Wait-Time/Glenn-County-CA.htm
CA,Humboldt,https://www.hospitalstats.org/ER-Wait-Time/Humboldt-County-CA.htm
CA,Imperial,https://www.hospitalstats.org/ER-Wait-Time/Imperial-County-CA.htm
CA,Inyo,https://www.hospitalstats.org/ER-Wait-Time/Inyo-County-CA.htm
CA,Kern,https://www.hospitalstats.org/ER-Wait-Time/Kern-County-CA.htm
CA,Kings,https://www.hospitalstats.org/ER-Wait-Time/Kings-County-CA.htm
CA,Lake,https://www.hospitalstats.org/ER-Wait-Time/Lake-County-CA.htm
CA,Lassen,https://www.hospitalstats.org/ER-Wait-Time/Lassen-County-CA.htm
CA,Los Angeles,https://www.hospitalstats.org/ER-Wait-Time/Los-Angeles-County-CA.htm
CA,Madera,https://www.hospitalstats.org/ER-Wait-Time/Madera-County-CA.htm
CA,Marin,https://www.hospitalstats.org/ER-Wait-Time/Marin-County-CA.htm
CA,Mariposa,https://www.hospitalstats.org/ER-Wait-Time/Mariposa-County-CA.htm
CA,Mendocino,https://www.hospitalstats.org/ER-Wait-Time/Mendocino-County-CA.htm
CA,Merced,https://www.hospitalstats.org/ER-Wait-Time/Merced-County-CA.htm
CA,Modoc,https://www.hospitalstats.org/ER-Wait-Time/Modoc-County-CA.htm
CA,Mono,https://www.hospitalstats.org/ER-Wait-Time/Mono-County-CA.htm
CA,Monterey,https://www.hospitalstats.org/ER-Wait-Time/Monterey-County-CA.htm
CA,Napa,https://www.hospitalstats.org/ER-Wait-Time/Napa-County-CA.htm
CA,Nevada,https://www.hospitalstats.org/ER-Wait-Time/Nevada-County-CA.htm
CA,Orange,https://www.hospitalstats.org/ER-Wait-Time/Orange-County-CA.htm
CA,Placer,https://www.hospitalstats.org/ER-Wait-Time/Placer-County-CA.htm
CA,Plumas,https://www.hospitalstats.org/ER-Wait-Time/Plumas-County-CA.htm
CA,Riverside,https://www.hospitalstats.org/ER-Wait-Time/Riverside-County-CA.htm
CA,Sacramento,https://www.hospitalstats.org/ER-Wait-Time/Sacramento-County-CA.htm
CA,San Benito,https://www.hospitalstats.org/ER-Wait-Time/San-Benito-County-CA.htm
CA,San Bernardino,https://www.hospitalstats.org/ER-Wait-Time/San-Bernardino-County-CA.htm
CA,San Diego,https://www.hospitalstats.org/ER-Wait-Time/San-Diego-County-CA.htm
CA,San Francisco,https://www.hospitalstats.org/ER-Wait-Time/San-Francisco-County-CA.htm
CA,San Joaquin,https://www.hospitalstats.org/ER-Wait-Time/San-Joaquin-County-CA.htm
CA,San Luis Obispo,https://www.hospitalstats.org/ER-Wait-Time/San-Luis-Obispo-County-CA.htm
CA,San Mateo,https://www.hospitalstats.org/ER-Wait-Time/San-Mateo-County-CA.htm
CA,Santa Barbara,https://www.hospitalstats.org/ER-Wait-Time/Santa-Barbara-County-CA.htm
CA,Santa Clara,https://www.hospitalstats.org/ER-Wait-Time/Santa-Clara-County-CA.htm
CA,Santa Cruz,https://www.hospitalstats.org/ER-Wait-Time/Santa-Cruz-County-CA.htm
CA,Shasta,https://www.hospitalstats.org/ER-Wait-Time/Shasta-County-CA.htm
CA,Siskiyou,https://www.hospitalstats.org/ER-Wait-Time/Siskiyou-County-CA.htm
CA,Solano,https://www.hospitalstats.org/ER-Wait-Time/Solano-County-CA.htm
CA,Sonoma,https://www.hospitalstats.org/ER-Wait-Time/Sonoma-County-CA.htm
CA,Stanislaus,https://www.hospitalstats.org/ER-Wait-Time/Stanislaus-County-CA.htm
CA,Sutter,https://www.hospitalstats.org/ER-Wait-Time/Sutter-County-CA.htm
CA,Tehama,https://www.hospitalstats.org/ER-Wait-Time/Tehama-County-CA.htm
CA,Trinity,https://www.hospitalstats.org/ER-Wait-Time/Trinity-County-CA.htm
CA,Tulare,https://www.hospitalstats.org/ER-Wait-Time/Tulare-County-CA.htm
CA,Tuolumne,https://www.hospitalstats.org/ER-Wait-Time/Tuolumne-County-CA.htm
CA,Ventura,https://www.hospitalstats.org/ER-Wait-Time/Ventura-County-CA.htm
CA,Yolo,https://www.hospitalstats.org/ER-Wait-Time/Yolo-County-CA.htm
CA,Yuba,https://www.hospitalstats.org/ER-Wait-Time/Yuba-County-CA.htm
CO,Adams,https://www.hospitalstats.org/ER-Wait-Time/Adams-County-CO.htm
CO,Alamosa,https://www.hospitalstats.org/ER-Wait-Time/Alamosa-County-CO.htm
CO,Arapahoe,https://www.hospitalstats.org/ER-Wait-Time/Arapahoe-County-CO.htm
CO,Archuleta,https://www.hospitalstats.org/ER-Wait-Time/Archuleta-County-CO.htm
CO,Baca,https://www.hospitalstats.org/ER-Wait-Time/Baca-County-CO.htm
CO,Boulder,https://www.hospitalstats.org/ER-Wait-Time/Boulder-County-CO.htm
CO,Chaffee,https://www.hospitalstats.org/ER-Wait-Time/Chaffee-County-CO.htm
CO,Cheyenne,https://www.hospitalstats.org/ER-Wait-Time/Cheyenne-County-CO.htm
CO,Delta,https://www.hospitalstats.org/ER-Wait-Time/Delta-County-CO.htm
CO,Denver,https://www.hospitalstats.org/ER-Wait-Time/Denver-County-CO.htm
CO,Douglas,https://www.hospitalstats.org/ER-Wait-Time/Douglas-County-CO.htm
CO,Eagle,https://www.hospitalstats.org/ER-Wait-Time/Eagle-County-CO.htm
CO,El Paso,https://www.hospitalstats.org/ER-Wait-Time/El-Paso-County-CO.htm
CO,Fremont,https://www.hospitalstats.org/ER-Wait-Time/Fremont-County-CO.htm
CO,Garfield,https://www.hospitalstats.org/ER-Wait-Time/Garfield-County-CO.htm
CO,Gunnison,https://www.hospitalstats.org/ER-Wait-Time/Gunnison-County-CO.htm
CO,Huerfano,https://www.hospitalstats.org/ER-Wait-Time/Huerfano-County-CO.htm
CO,Jefferson,https://www.hospitalstats.org/ER-Wait-Time/Jefferson-County-CO.htm
CO,Kit Carson,https://www.hospitalstats.org/ER-Wait-Time/Kit-Carson-County-CO.htm
CO,La Plata,https://www.hospitalstats.org/ER-Wait-Time/La-Plata-County-CO.htm
CO,Lake,https://www.hospitalstats.org/ER-Wait-Time/Lake-County-CO.htm
CO,Larimer,https://www.hospitalstats.org/ER-Wait-Time/Larimer-County-CO.htm
CO,Las Animas,https://www.hospitalstats.org/ER-Wait-Time/Las-Animas-County-CO.htm
CO,Logan,https://www.hospitalstats.org/ER-Wait-Time/Logan-County-CO.htm
CO,Mesa,https://www.hospitalstats.org/ER-Wait-Time/Mesa-County-CO.htm
CO,Montezuma,https://www.hospitalstats.org/ER-Wait-Time/Montezuma-County-CO.htm
CO,Montrose,https://www.hospitalstats.org/ER-Wait-Time/Montrose-County-CO.htm
CO,Morgan,https://www.hospitalstats.org/ER-Wait-Time/Morgan-County-CO.htm
CO,Otero,https://www.hospitalstats.org/ER-Wait-Time/Otero-County-CO.htm
CO,Phillips,https://www.hospitalstats.org/ER-Wait-Time/Phillips-County-CO.htm
CO,Pitkin,https://www.hospitalstats.org/ER-Wait-Time/Pitkin-County-CO.htm
CO,Prowers,https://www.hospitalstats.org/ER-Wait-Time/Prowers-County-CO.htm
CO,Pueblo,https://www.hospitalstats.org/ER-Wait-Time/Pueblo-County-CO.htm
CO,Rio Blanco,https://www.hospitalstats.org/ER-Wait-Time/Rio-Blanco-County-CO.htm
CO,Rio Grande,https://www.hospitalstats.org/ER-Wait-Time/Rio-Grande-County-CO.htm
CO,Routt,https://www.hospitalstats.org/ER-Wait-Time/Routt-County-CO.htm
CO,Summit,https://www.hospitalstats.org/ER-Wait-Time/Summit-County-CO.htm
CO,Teller,https://www.hospitalstats.org/ER-Wait-Time/Teller-County-CO.htm
CO,Weld,https://www.hospitalstats.org/ER-Wait-Time/Weld-County-CO.htm
CO,Yuma,https://www.hospitalstats.org/ER-Wait-Time/Yuma-County-CO.htm
CT,Fairfield,https://www.hospitalstats.org/ER-Wait-Time/Fairfield-County-CT.htm
CT,Hartford,https://www.hospitalstats.org/ER-Wait-Time/Hartford-County-CT.htm
CT,Litchfield,https://www.hospitalstats.org/ER-Wait-Time/Litchfield-County-CT.htm
CT,Middlesex,https://www.hospitalstats.org/ER-Wait-Time/Middlesex-County-CT.htm
CT,New Haven,https://www.hospitalstats.org/ER-Wait-Time/New-Haven-County-CT.htm
CT,New London,https://www.hospitalstats.org/ER-Wait-Time/New-London-County-CT.htm
CT,Tolland,https://www.hospitalstats.org/ER-Wait-Time/Tolland-County-CT.htm
CT,Windham,https://www.hospitalstats.org/ER-Wait-Time/Windham-County-CT.htm
DE,Kent,https://www.hospitalstats.org/ER-Wait-Time/Kent-County-DE.htm
DE,New Castle,https://www.hospitalstats.org/ER-Wait-Time/New-Castle-County-DE.htm
DE,Sussex,https://www.hospitalstats.org/ER-Wait-Time/Sussex-County-DE.htm
FL,Alachua,https://www.hospitalstats.org/ER-Wait-Time/Alachua-County-FL.htm
FL,Bay,https://www.hospitalstats.org/ER-Wait-Time/Bay-County-FL.htm
FL,Bradford,https://www.hospitalstats.org/ER-Wait-Time/Bradford-County-FL.htm
FL,Brevard,https://www.hospitalstats.org/ER-Wait-Time/Brevard-County-FL.htm
FL,Broward,https://www.hospitalstats.org/ER-Wait-Time/Broward-County-FL.htm
FL,Charlotte,https://www.hospitalstats.org/ER-Wait-Time/Charlotte-County-FL.htm
FL,Citrus,https://www.hospitalstats.org/ER-Wait-Time/Citrus-County-FL.htm
FL,Clay,https://www.hospitalstats.org/ER-Wait-Time/Clay-County-FL.htm
FL,Collier,https://www.hospitalstats.org/ER-Wait-Time/Collier-County-FL.htm
FL,Columbia,https://www.hospitalstats.org/ER-Wait-Time/Columbia-County-FL.htm
FL,De Soto,https://www.hospitalstats.org/ER-Wait-Time/De-Soto-County-FL.htm
FL,Duval,https://www.hospitalstats.org/ER-Wait-Time/Duval-County-FL.htm
FL,Escambia,https://www.hospitalstats.org/ER-Wait-Time/Escambia-County-FL.htm
FL,Flagler,https://www.hospitalstats.org/ER-Wait-Time/Flagler-County-FL.htm
FL,Franklin,https://www.hospitalstats.org/ER-Wait-Time/Franklin-County-FL.htm
FL,Gulf,https://www.hospitalstats.org/ER-Wait-Time/Gulf-County-FL.htm
FL,Hardee,https://www.hospitalstats.org/ER-Wait-Time/Hardee-County-FL.htm
FL,Hendry,https://www.hospitalstats.org/ER-Wait-Time/Hendry-County-FL.htm
FL,Hernando,https://www.hospitalstats.org/ER-Wait-Time/Hernando-County-FL.htm
FL,Highlands,https://www.hospitalstats.org/ER-Wait-Time/Highlands-County-FL.htm
FL,Hillsborough,https://www.hospitalstats.org/ER-Wait-Time/Hillsborough-County-FL.htm
FL,Holmes,https://www.hospitalstats.org/ER-Wait-Time/Holmes-County-FL.htm
FL,Indian River,https://www.hospitalstats.org/ER-Wait-Time/Indian-River-County-FL.htm
FL,Jackson,https://www.hospitalstats.org/ER-Wait-Time/Jackson-County-FL.htm
FL,Lake,https://www.hospitalstats.org/ER-Wait-Time/Lake-County-FL.htm
FL,Lee,https://www.hospitalstats.org/ER-Wait-Time/Lee-County-FL.htm
FL,Leon,https://www.hospitalstats.org/ER-Wait-Time/Leon-County-FL.htm
FL,Levy,https://www.hospitalstats.org/ER-Wait-Time/Levy-County-FL.htm
FL,Madison,https://www.hospitalstats.org/ER-Wait-Time/Madison-County-FL.htm
FL,Manatee,https://www.hospitalstats.org/ER-Wait-Time/Manatee-County-FL.htm
FL,Marion,https://www.hospitalstats.org/ER-Wait-Time/Marion-County-FL.htm
